course_code,course_name
MM59010,CLINICAL NUCLEAR MEDICINE DIAGNOSTIC TECHNIQUES LABORATORY
AR60209,TRANSPORTATION ENGINEERING AND PLANNING
EA19004,EXTRA ACADEMIC ACTIVITY-IV
IE31001,INSTRUMENTATION DEVICES
PH40008,PHYSICS OF RADIATION GENERATORS
AR62102,INDEPENDENT RESEARCH PAPER
MT48201,SUMMER INTERNSHIP
CY49202,ADVANCED PHYSICAL CHEMISTRY LABORATORY
CY57006,PROJECT AND VIVA
GG29207,SEDIMENTOLOGY LAB
HS30201,INDIAN ECONOMY
MA60306,BIG DATA ANALYSIS
ME60352,ROBOTICS
ES69201,RENEWABLE ENERGY SYSTEMS LABORATORY
IM31011,DESIGN FOR MANUFACTURABILITY
IM41006,NETWORKS AND PROJECT MANAGEMENT
IM69202,MACHINE LEARNING FOR INDUSTRIAL APPLICATION LABORATORY
ME39604,MACHINES TOOLS AND MACHINING LAB.
BT48017,INDUSTRIAL TRAINING
EE69545,SEMINAR
GG20202,STRUCTURAL GEOLOGY
HS60026,BASIC BUSINESS STATISTICS LABORATORY
IP63701,DISSERTATION
EC30202,COMPUTER ARCHITECTURE
GG39206,IGNEOUS PETROLOGY LAB
MA58011,SUMMER TRAINING
MI48039,INDUSTRIAL TRAINING
MM49003,MOLECULAR TECHNOLOGY LABORATORY
IM61207,APPLIED MULTIVARIATE STATISTICAL MODELLING
PH49018,RADIATION DETECTION AND MEASUREMENT LAB
MT39022,X-RAY DIFFRACTION AND TRANSMISSION ELECTRON MICROSCOPY LABORATORY
QE58201,SUMMER INTERNSHIP
CY11003,CHEMISTRY
IE31002,INSTRUMENTATION DEVICES-II
IP63103,LEGAL RESEARCH METHODOLOGY
MA11003,ADVANCED CALCULUS
MA60308,FILE ORGANIZATION AND DATABASE SYSTEMS
MT29203,METALLURGICAL THERMODYNAMICS AND KINETICS LABORATORY
AE31103,HIGH SPEED AERODYNAMICS
CH39020,INSTRUMENTATION AND PROCESS CONTROL LABORATORY
GG49211,IGNEOUS PETROGENESIS LAB
IM60005,DECISION MODELLING
PE69001,RESERVOIR ENGINEERING LABORATORY
CH29202,FLUID FLOW LABORATORY AND DESIGN
CH30012,TRANSPORT PHENOMENA
EC61207,STATISTICAL SIGNAL PROCESSING
GG69202,MICROPALEONTOLOGY LABORATORY
PE60002,RESERVOIR ENGINEERING FUNDAMENTALS
ME69208,COMPUTATIONAL THERMO-FLUIDS LAB
MM79325,SEMINAR-II
BM63032,BUSINESS LAW FOR MANAGERS
CS39006,NETWORKS LAB.
CS48003,SUMMER TRAINING
EC61204,ANTENNA THEORY AND PRACTICE
GG69201,MAGNETOTELLURIC METHODS OF PROSPECTING LABORATORY
IM31006,SIMULATION
MT60003,PROGRAMMING AND NUMERICAL METHODS IN MATERIALS ENGINEERING
CE69004,CASE STUDIES ON COMPUTATIONAL HYDRAULICS AND SEDIMENT TRANSPORT
EP69045,SEMINAR
AG31201,DESIGN OF FARM MACHINERY
CS39002,OPERATING SYSTEMS LABORATORY
EC69307,SEMINAR-I
GG29206,OPTICAL MINERALOGY LAB
MM61518,TELEMEDICINE LABORATORY
PH39214,SPECTROSCOPY LAB
EM31201,PUBLIC FINANCE
GG49011,GEOPHYSICAL PROSPECTING LAB.
HS60236,BUSINESS  SOCIETY AND  ETHICS
MM58001,SEMINAR
AG69012,AQUACULTURAL ENGINEERING LAB. II
EC39201,DSP LABORATORY
HS60243,ADVANCED MACROECONOMICS
IM58201,SUMMER INTERNSHIP
IM61003,HUMAN FACTORS ENGINEERING
MA20205,PROBABILITY AND STATISTICS
AG60021,FOOD CHEMISTRY AND MICROBIOLOGY
EE69011,POWER AND ENERGY SYSTEMS LAB.
EX58003,SUMMER TRAINING/PROJECT/INTERNSHIP
EX60004,ADVANCED TECHNIQUES OF MINERAL EXPLORATION
GG68121,SUMMER INTERNSHIP
IM39202,STATISTICAL LEARNING LAB
ME58201,SUMMER INTERNSHIP
AR10304,BUILDING MATERIALS
CY20202,PHYSICAL CHEMISTRY II
EX60011,HYDROCARBON EXPLORATION
IP60104,LAW OF CONTRACT - II
MT32008,IRON MAKING AND STEELMAKING
PE40002,HYDROCARBON PRODUCTION ENGINEERING
AR60211,UTILITIES AND SERVICES PLANNING
BS40004,INFECTION AND IMMUNITY
EE21203,NETWORK ANALYSIS
MI31211,MATERIAL HANDLING AND MINERAL ENGINEERING
TE69003,COMMUNICATIONS SIMULATION LABORATORY
IM31203,PRODUCTION PLANNING AND CONTROL
MA39204,FILE ORGANIZATION AND DATABASE SYSTEMS LAB
BT69016,RECOMBINANT DNA TECHNOLOGY LABORATORY
CS39001,COMPUTER ORGANIZATION LABORATORY
GG31201,SEISMOLOGY
HS60043,INDIVIDUAL AND GROUP DYNAMICS
HS60261,FINANCIAL MANAGEMENT
HS69202,BUSINESS COMMUNICATION
MM40017,BASICS OF RADIOBIOLOGY RADIOPHARMACEUTICAL CHEMISTRY AND IN VITRO DIAGNOSTIC TECHNIQUES
SE69202,SAFETY AND RISK ANALYTICS LABORATORY
AG41202,GROUNDWATER HYDROLOGY
CS69202,DESIGN LAB
EE60026,POWER SYSTEM PROTECTION
GG40205,PALEONTOLOGY
AG39004,IRRIGATION AND DRAINAGE ENGINEERING LABORATORY
CH39202,PROCESS EQUIPMENT DESIGN-II
ME60402,ADVANCED MECHANICS OF SOLIDS
MI29201,ROCK MECHANICS LABORATORY
MA69202,AI AND ML LAB
CY30201,"CHEMISTRY OF MAIN GROUP ELEMENTS: RING, CHAINS, CLUSTERS"
EC21205,SEMICONDUCTOR DEVICES
EE69249,PG ELECTRICAL MACHINE LAB
EM21205,MACROECONOMICS I
IM21203,ENGINEERING ECONOMY
MA30207,DESIGN AND ANALYSIS OF ALGORITHMS
MA21202,MODERN ALGEBRA
AE39001,AERODYNAMICS LAB-II
AR32202,WORKING DRAWING II
CY41009,INTRODUCTION TO QUANTUM CHEMISTRY AND SPECTROSCOPY
EE69212,MIXED SIGNAL VLSI LABORATORY
GG58006,FIELD WORK (6 WEEKS)
IP60131,OTHER FORMS OF IPR
AG69004,TRACTOR SYSTEMS LABORATORY II
CE29206,SURVEYING PRACTICE
GG20214,MINERALOGICAL THERMODYNAMIC
MF30604,NON-TRADITIONAL MANUFACTURING PROCESSES
IM69045,SEMINAR
IP69102,MOOT COURT
AE31004,AIRCRAFT STABILITY AND CONTROL
CY40210,ORGANOMETALLICS
EA10008,EXTRA ACADEMIC ACTIVITY-II
EC69207,SEMINAR-I
EE39203,DIGITAL SIGNAL PROCESSING LABORATORY
GG60004,INSTRUMENTAL METHODS IN GEOSCIENCES
ME29204,WORKSHOP PRACTICE
PH20206,MATHEMATICS FOR PHYSICS - I
SE69201,SAFETY ENGINEERING LABORATORY
AG69039,GEO-INFORMATICS FOR LAND AND WATER RESOURCES LABORATORY
BM59001,MODELING AND SIMULATION OF FINANCIAL SYSTEMS
BT60002,RECOMBINANT DNA TECHNOLOGY
CH21201,CHEMICAL ENGINEERING THERMODYNAMICS
EE31009,CONTROL SYSTEM ENGINEERING
IP68102,COMPREHENSIVE VIVA VOCE
EM20202,ECONOMETRIC ANALYSIS I
EM30206,ECONOMICS OF GROWTH
EX30004,GEOPHYSICAL FIELD THEORY
MA20206,THEORY OF COMPUTATIONS
SD11012,CALCULUS OF SEVERAL VARIABLES
AG60033,PRINCIPLES OF PLANT BREEDING
CH61012,ADVANCED MASS TRANSFER
EE68221,SUMMER INTERNSHIP
ES69009,SEMINAR - I
HS60076,COMPENSATION MANAGEMENT
IP60121,PUBLIC INTERNATIONAL LAW
SE68001,SUMMER INTERNSHIP
AG60056,PLANNING AND DESIGN OF AQUACULTURAL FARMS
BM63014,MACRO ECONOMICS FOR MANAGERS
EC61209,ADVANCED ELECTROMAGNETIC ENGINEERING
MI30205,UNDERGROUND METAL MINING
PH41013,MATHEMATICAL METHODS I
AR30201,DEVELOPMENT OF CONTEMPORARY ARCHITECTURE 1
BM63009,PRODUCTION AND OPERATIONS MANAGEMENT
EX51003,REMOTE SENSING
HS60201,FUNDAMENTALS OF STAFFING
WM69045,SEMINAR
CE30203,GEOTECHNICAL ENGINEERING
CE68421,SUMMER INTERNSHIP
CY21201,PHYSICAL CHEMISTRY I
CY41201,SPECTROSCOPIC METHODS OF STRUCTURE DETERMINATION
EM30203,FINANCIAL INSTITUTIONS AND MARKETS
MA41203,INTEGRAL EQUATIONS AND VARIATIONAL METHODS
SD11006,INTRODUCTION TO PHYSICAL CHEMISTRY
CS21202,SWITCHING CIRCUITS AND LOGIC DESIGN
EE69004,MACHINE DRIVES LABORATORY
MI29202,MINE SURVEYING LABORATORY
NA30201,PROPULSION
NA61202,ADVANCED METHODS IN MARINE HYDRODYNAMICS
PH21202,THERMAL PHYSICS
EE69010,INSTRUMENTATION LABORATORY II
GG40233,GEOPHYSICAL PROSPECTING
MA41204,COMPLEX ANALYSIS
MS60006,TECHNIQUES OF MATERIALS CHARACTERIZATION - I
SD11018,TRANSFORM CALCULUS
ME31201,"CASTING, FORMING AND WELDING"
AG20202,CROP PRODUCTION TECHNOLOGY
AR44201,ARCHITECTURAL DESIGN V
CY49203,ADVANCED INORGANIC LAB
GG20205,INTRODUCTORY GEOPHYSICS
GG20207,ORE GEOLOGY
MA41213,TOPOLOGY
AG68121,SUMMER INTERNSHIP
EE31002,POWER SYSTEMS
GG52020,ENGINEERING GEOLOGY
MI30201,UNDERGROUND COAL MINING
MI39203,MINING MACHINERY LABORATORY
NA39006,MARINE DESIGN LABORATORY - I
CE60021,WATER SUPPLY SYSTEMS
CE69023,ENVIRONMENTAL LAB
EM39201,BEHAVIORAL SCIENCES LABORATORY
HS39203,ECONOMETRIC ANALYSIS II LAB
IM49202,OPTIMIZATION AND HEURISTICS METHODS LAB
IP60107,CONSTITUTIONAL LAW - I
TE61004,TELECOMMUNICATIONS NETWORK PLANNING AND MANAGEMENT
CE60035,MECHANICS OF SOILS
EC21204,LINEAR ALGEBRA AND OPTIMIZATION MODELS
EM21204,MACROECONOMICS II
GG49209,METAMORPHIC PHASE EUILIBRIA LAB
GG52022,GROUNDWATER GEOLOGY
IP63803,SEMINAR
ME68121,SUMMER INTERNSHIP
SD19003,INORGANIC CHEMISTRY LAB
AR60204,PLANNING WORKSHOP - II
AR69205,DESIGN AND SIMULATION LAB - I
BS57001,PROJECT
BT39201,ANALYTICAL BIOCHEMISTRY LABORATORY
CH69004,DESIGN II
IE20202,DATA COMMUNICATION
PH30201,COMPUTATIONAL PHYSICS
WM69006,WATER ENGINEERING LABORATORY
CH39015,MECHANICAL OPERATIONS AND HEAT TRANSFER LABORATORY
CY61228,MOLECULAR STRUCTURE AND MOLECULAR SPECTROSCOPY
EC21210,SYSTEMS AND CONTROL
EE39002,POWER SYSTEMS LAB.
ME31203,KINEMATICS AND KINETICS OF MACHINES
ME48701,SUMMER TRAINING
MS69004,ADVANCED LABORATORY
AR60205,PLANNING WORKSHOP I
CH69003,DESIGN I
GG29211,ORE GEOLOGY LAB
HS21205,MACROECONOMICS I
HS60074,STRATEGIC HRM
MA68021,SUMMER INTERNSHIP
IP69105,MOOT COURT
MM41003,STATISTICS AND COMPUTER SCIENCE IN NUCLEAR MEDICINE
AG68621,SUMMER INTERNSHIP
CE60005,APPLIED HYDROLOGY
EC69407,SEMINAR-I
ES61207,BATTERY STORAGE AND FUEL CELLS
EX50002,TECTONICS AND GEODYNAMICS
HS29202,ECONOMETRIC ANALYSIS - I LABORATORY
XXXX,INTERNSHIP BASED PROJECT
PH21203,ELECTROMAGNETISM
AG29201,SOIL TECHNOLOGY LABORATORY
HS60206,RESEARCH METHODOLOGY
IP60102,COPYRIGHT
MM40008,ANTIMICROBIAL AGENT AND THERAPY
MM68121,SUMMER INTERNSHIP
MT41011,PHYSICS OF MATERIALS
GS68121,SUMMER INTERNSHIP
IP63901,CLINICAL LEGAL PROGRAM (ADVANCED LEGAL WRITING)
BT69045,SEMINAR
CE31001,DESIGN OF RC STRUCTURE
CE60244,TRAFFIC ENGINEERING
CH31010,MASS TRANSFER II
CY21203,MOLECULAR STRUCTURE AND BONDING
EX48206,GEOPHYSICAL FIELD WORK - I
MS61005,SCIENCE AND TECHNOLOGY OF POLYMERS
AR48014,DOCUMENTATION OF INNOVATIVE DETAILS
CE60023,WASTEWATER MANAGEMENT
IP60118,LAW OF EVIDENCE
IP69106,MOOT COURT
PH30204,CONDENSED MATTER PHYSICS
AG69645,SEMINAR
BT30206,IMMUNOLOGY
KS11001,SANSKRIT
MI69009,GEONUMERICS LABORATORY
EX57004,PROJECT
GG38002,FIELD WORK (3 WEEKS)
AG31004,IRRIGATION AND DRAINAGE ENGINEERING
AG69014,AGRICULTURAL SYSTEMS MODELLING LAB
AR58102,SEMINAR
CS21204,FORMAL LANGUAGE AND AUTOMATA THEORY
EP69201,DESIGN THINKING LAB
EP69202,PRODUCT PROTOTYPING LAB
AE39004,PROPULSION LABORATORY
AG30204,OFF-ROAD VEHICLE SYSTEMS
BT29207,BIOCHEMICAL ENGGINEERING LABORATORY
CE29204,TRANSPORTATION ENGINEERING LABORATORY
CH21205,MECHANICAL OPERATIONS
PH39202,CONDENSED MATTER PHYSICS LAB
EC31201,DIGITAL SIGNAL PROCESSING- I
GG40207,STATIONARY FIELD AND ELECTRICAL METHODS
IM21201,OPERATIONS RESEARCH I
IP61013,FAMILY LAW II
MM59002,RADIATION ONCOLOGY LAB - ADVANCED TREATMENT PLANNING
NA48001,INDUSTRIAL TRAINING
AR69206,DESIGN AND SIMULATION LAB - II
CH69002,SEMINAR-II
GG21205,MINERALOGY
MI39201,VENTILATION LABORATORY
BS58004,SEMINAR
CS31003,COMPILERS
MI31203,MINING MACHINERY AND AUTOMATION
MT31012,MATERIAL CHARACTERIZATION
BT31201,GENETICS AND GENETIC ENGINEERING
GG40237,IGNEOUS PETROGENESIS
ID69045,SEMINAR
ME58002,COMPREHENSIVEVIVA VOCE
ME69102,ADVANCED MANUFACTURING LABORATORY-II
RT60002,RUBBER PRODUCT MANUFACTURING TECHNOLOGY
BM63001,FINANCIAL ACCOUNTING AND REPORTING
BM63002,CORPORATE FINANCE
CE30205,WATER AND WASTEWATER ENGINEERING
CR69006,CRYOGENIC HEAT TRANSFER LABORATORY
IP61019,IPR MANAGEMENT
ME69003,ENGINEERING SOFTWARE LABORATORY
MT69003,COMPUTER PROGRAMMING LAB. (LAB. I)
NA20202,MARINE HYDRODYNAMICS
AE21205,THERMODYNAMICS AND AEROSPACE PROPULSION SYSTEMS
CE60012,ANALYSIS AND DESIGN OF PAVEMENTS
CY41215,"INORGANIC CHEMISTRY: PRINCIPLE, STRUCTURE AND REACTIVITY"
CY61206,SOLID STATE CHEMISTRY
EC29202,DIGITAL CIRCUITS LABORATORY
GG39210,GRAVITY AND MAGNETIC METHODS OF PROSPECTING (LAB)
ME60235,ADDITIVE MANUFACTURING
WM68021,SUMMER INTERNSHIP
AE48003,SUMMER TRAINING
AT60008,EMBEDDED COMMUNICATION NETWORKS
CH49015,REACTION ENGINEERING LABORATORY
EE61008,MEDICAL IMAGE ANALYSIS
GG29005,INTRODUCTION TO EARTH SCIENCE LAB.
MA51002,MEASURE THEORY AND INTEGRATION
AE39201,INNOVATION LABORATORY I
AE60001,AERODYNAMICS
BT61201,ASPECTS OF BIOCHEMICAL ENGINEERING
EE69301,SEMINAR-I
ME69101,ADVANCED MANUFACTURING LABORATORY-I
MM62201,INTRODUCTION TO PROGRAMMING
AG69017,PLANT METABOLITES AND SEPARATION TECHNOLOGY LABORATORY
GG41005,ORE GEOLOGY
MM61505,PHYSICS AND INSTRUMENTATION OF MEDICAL IMAGING
MS69045,SEMINAR
MI60254,DESIGN OF SUBSURFACE ENVIRONMENTAL SYSTEMS
MM41002,GLOBAL HEALTH AND EPIDEMIOLOGY
AG69037,HYDROLOGICAL SYSTEMS LABORATORY
AG69445,SEMINAR
AR60002,PLANNING LEGISLATION AND PROFESSIONAL PRACTICE
EM39202,FINANCIAL ANALYSIS LABORATORY
EN19003,ENGINEERING LABORATORY
MA29202,NUMERICAL METHODS LABORATORY
PH21206,QUANTUM PHYSICS
CE21201,SOLID MECHANICS
GG49001,GEOCHEMISTRY LAB.
MM69322,BIOMATERIALS LAB
MA41207,MATHEMATICAL ANALYSIS
MT21201,INTRODUCTION TO ENGINEERING MATERIALS
AE60007,FLIGHT MECHANICS
BT40204,ENVIRONMENTAL BIOTECHNOLOGY
EC58201,SUMMER INTERNSHIP
EC60309,VLSI PROCESS TECHNOLOGY
GG59010,APPLIED MICROPALEONTOLOGY LABORATORY
IE58201,SUMMER INTERNSHIP
CY47202,PROJECT - 2
EP61204,TECHNOPRENEURIAL MARKETING
GG29205,GEOLOGY LABORATORY
IM41001,PRODUCT DEVELOPMENT
MA21203,COMBINATORICS AND GRAPH THEORY
AE40026,SPACE DYNAMICS
GG21207,INTRODUCTION TO EARTH SCIENCE
MM59012,CLINICAL NUCLEAR MEDICINE THERAPY TECHNIQUES LABORATORY
MT29202,MATERIALS PROCESSING LABORATORY
PH41014,CONDENSED MATTER PHYSICS-I
WM61002,RIVER BASIN PLANNING AND MANAGEMENT
MI62004,COMPUTATIONAL GEOMECHANICS
MM40004,CLINICAL MICROBIOLOGY
AI61003,LINEAR ALGEBRA FOR AI AND ML
BM63003,COST AND MANAGEMENT ACCOUNTING
CE60001,FREE SURFACE FLOW
EC39202,EMBEDDED SYSTEMS LABORATORY
IM69205,PROGRAMMING FOR DATA SCIENCE LABORATORY
MA40206,NUMERICAL ANALYSIS
MM61204,THERMODYNAMICS AND TRANSPORT IN BIOLOGICAL SYSTEMS
AT60001,EMBEDDED CONTROL SYSTEMS
CE69245,SEMINAR
EC29203,NETWORK THEORY LABORATORY
EE30004,EMBEDDED SYSTEMS
EE49001,CONTROL AND ELECTRONIC SYSTEM DESIGN
MA48201,SUMMER INTERNSHIP
AG69545,SEMINAR
HS60072,KNOWLEDGE MANAGEMENT
PH30210,NUCLEAR PHYSICS
TE61003,COMMUNICATIONS SIGNAL PROCESSING AND ALGORITHMS
MM69501,"BASIC HUMAN ANATOMY, PHYSIOLOGY AND PATHOLOGY LABORATORY"
EC49202,DESIGN LABORATORY
EC69213,VLSI CIRCUITS AND SYSTEMS LABORATORY
HS60221,FUNDAMENTALS OF HRM
IM61212,SAFETY AND RISK ANALYTICS
IP68103,SUMMER INTERNSHIP - I (4 WEEKS)
ME30602,DESIGN OF MACHINE ELEMENTS
CY29204,INORGANIC QUALITATIVE ANALYSIS LABORATORY
GG40202,TIME VARYING FIELD AND ELECTROMAGNETIC METHODS
ME69008,DESIGN PROJECT
MM50027,"RADIATION PROTECTION, REGULATORY ASPECTS AND OPERATION"
CY40206,BIOINORGANIC CHEMISTRY
EE29206,ELECTRICAL MACHINES LABORATORY
EX48202,FIELD GEOPHYSICS II
ME30604,MACHINES TOOLS AND MACHINING
ME60403,VIBRATION ANALYSIS
NA31004,CAD-CAM MARINE DESIGN AND PRODUCTION
MA69004,DATA STRUCTURE AND ALGORITHM LABORATORY
MT41031,EXTRACTIVE METALLURGY OF NON-FERROUS METALS
AR13302,BASIC DESIGN 2
AT69002,EMBEDDED APPLICATIONS LABORATORY
EC69210,INTELLIGENT SYSTEMS DESIGN LABORATORY
EM21206,DEVELOPMENT ECONOMICS
ID68021,SUMMER INTERNSHIP
IE21202,DATA COMMUNICATION
TE60203,SEMINAR
BT20201,INTRODUCTION TO BIOTECHNOLOGY
CE69012,STRUCTURAL LAB.-II
HS60035,ORGANISATION STRUCTURE AND DYNAMICS
IM60002,ADVANCED DECISION MODELLING
MI21201,ROCK MECHANICS
PE40001,PETROLEUM ENGINEERING FUNDAMENTALS
GG57020,PROJECT WORK
MI60215,INDUSTRIAL HYGIENE
AG69345,SEMINAR
DY17003,DIY PROJECT
EC68321,SUMMER INTERNSHIP
EE58201,SUMMER INTERNSHIP
EM30207,ECONOMETRIC ANALYSIS II
GG40204,SEQUENCE STRATIGRAPHY
HS61202,PUBLIC POLICY
NA29202,HYDROSTATICS LABORATORY
CE58201,SUMMER INTERNSHIP
CY21205,FUNDAMENTALS OF ORGANIC REACTIONS
EC60045,ANALYTICAL AND COMPUTATIONAL TECHNIQUES IN ELECTROMAGNETICS
EE68421,SUMMER INTERNSHIP
ES61209,BIOENERGY RESOURCES AND TECHNOLOGIES
GG48202,FIELD GEOLOGY III
NA69005,DESIGN PROBLEMS IN OCEAN ENGINEERING
AR30202,FIELD TRIP II
BM63019,MICRO ECONOMICS FOR MANAGERS
BM63023,BUSINESS GOVERNMENT AND INTERNATIONAL ECONOMIC ENVIRONMENT
CY19003,CHEMISTRY LABORATORY
MI31202,COMPUTATIONAL METHODS AND MINE INSTRUMENTATION
EC21207,ANALOG ELECTRONIC CIRCUITS
EC39002,DIGITAL COMMUNICATION LABORATORY
IM31201,SUPPLY CHAIN MANAGEMENT
MA20203,THEORY OF PARTIAL DIFFERENTIAL EQUATIONS
SD10008,TEACHER AND SOCIETY
AR40205,"SOCIETY, CULTURAL SYSTEMS AND BUILT FORMS"
AR60215,HOUSING AND COMMUNITY PLANNING
EE69210,MACHINE LEARNING FOR SIGNAL PROCESSING LABORATORY
MF40603,COMPUTER INTEGRATED MANUFACTURING
MI60256,WORKPLACE NOISE AND VIBRATION
MM50020,PHYSICS OF NUCLEAR MEDICINE AND INTERNAL DOSIMETRY
MM49004,MOLECULAR DIAGNOSTIC LABORATORY
PE58002,COMPREHENSIVE VIVA VOCE
PH69007,FMD LABORATORY - I
EC39001,ANALOG COMMUNICATIONS LAB.
EC69209,DESIGN AND SIMULATION LABORATORY: COMMUNICATION SYSTEMS
GG49206,SEDIMENTARY PETROLOGY LABORATORY
MM40002,CLINICAL RESEARCH METHODS
NA60010,ANALYSIS OF OCEAN STRUCTURES II
CE39007,CONCRETE LABORATORY
IP61017,LABOUR AND INDUSTRIAL LAW - I
NA30202,MANEUVERING AND CONTROL
NA31002,MARINE DESIGN
PH39011,ELECTRONICS AND SOLID STATE PHYSICS LAB.
PH60016,EXPERIMENTAL TECHNIQUES FOR FUNCTIONAL MATERIALS
EM21202,MICROECONOMICS II
EP61202,OPERATIONS AND SUPPLY CHAIN MANAGEMENT
AR48012,CRITICAL APPRAISAL
AR48016,FIELD OBSERVATION
AT69204,EMBEDDED COMMUNICATIONS LABORATORY
EA10010,EXTRA ACADEMIC ACTIVITY-IV
EE60039,PROBABILITY AND RANDOM PROCESSES FOR SIGNALS AND SYSTEMS
EE69019,INSTRUMENTATION LABORATORY I
GG31003,MINERAL RESOURCES
IM29204,OPERATIONS RESEARCH LABORATORY
MT30001,MATERIALS ENGINEERING
WM60011,SECTORAL WATER DEMAND AND DISTRIBUTION
CE60221,PAVEMENT MATERIALS
GG28204,FIELD GEOLOGY I
PH29205,GENERAL PROPERTIES OF MATTER LAB
EC69211,IMAGE AND VIDEO PROCESSING LABORATORY
HS30203,FINANCIAL INSTITUTIONS AND MARKETS
ME60401,APPLIED ELASTICITY
MM50023,NUCLEAR IMAGING EQUIPMENT AND QUALITY CONTROL
PH29207,ELECTROMAGNETISM LAB
BM63006,BUSINESS ECONOMETRICS
EC31202,DIGITAL SIGNAL PROCESSING- II
EE29201,SIGNALS AND NETWORKS LABORATORY
ME32202,MACHINE DRAWING
ME68221,SUMMER INTERNSHIP
MM40007,BASICS OF MEDICAL MICROBIOLOGY
EE60012,OPTIMAL CONTROL
IP60130,CORPORATE LAW - II
MM49002,CLINICAL MICROBIOLOGY LABORATORY
PH40202,ORDER AND CHAOS
RE68121,SUMMER INTERNSHIP
AR48018,SITE SUPERVISION
BT20203,BIOCHEMISTRY
CL68021,SUMMER INTERNSHIP
EE30024,ILLUMINATION AND ELECTRICAL SERVICES
HS60247,ADVANCED MICROECONOMICS
MM79317,MEDICAL INSTRUMENTATION LAB
CE60225,FINITE ELEMENT ANALYSIS
GG39008,SEDIMENTOLOGY LAB.
ME11003,BASIC ENGINEERING MECHANICS
MM61312,MEDICAL IMAGING
NA31007,VIBRATION OF FLOATING STRUCTURES
PH48201,SUMMER INTERNSHIP
BT49201,ANIMAL CELL CULTURE AND IMMUNOTECHNOLOGY LABORATORY
EX38202,FIELD GEOPHYSICS I
ME67322,PROJECT - 1
MI69203,ENVIRONMENTAL ENGINEERING LABORATORY
PH31201,QUANTUM MECHANICS
EX41005,EARTH AND PLANETARY SYSTEMS
GG40223,RADIOMETRIC METHODS OF PROSPECTING
IP60113,CORPORATE LAW - I
IP63801,SEMINAR
PH49201,INNOVATION LAB
CE48201,SUMMER INTERNSHIP
EC61211,PATTERN RECOGNITION AND MACHINE INTELLIGENCE
GG60230,GROUNDWATER EXPLORATION AND MANAGEMENT
MM61316,BIOMATERIALS
AE39003,STRUCTURES LAB -II
BT61026,MICROBIAL GENOMICS AND METAGENOMICS
CE30202,ANALYSIS AND DESIGN OF GEOTECHNICAL SYSTEMS
CL61208,FUNDAMENTALS OF OCEANIC AND ATMOSPHERIC SCIENCES
ME68321,SUMMER INTERNSHIP
MM49001,NUMERICAL METHODS AND COMPUTATIONAL TECHNIQUES LAB
PH31205,ELECTRODYNAMICS
AG39202,OFF-ROAD VEHICLE SYSTEMS LAB
BS41003,BIOPHYSICAL AND BIOCHEMICAL METHODS
CE69301,SEMINAR-I
CS39003,COMPILERS LABORATORY
EE48201,SUMMER INTERNSHIP
MA60281,NONLINEAR PROGRAMMING
PH60305,PRINCIPLES OF RADIATION DETECTION AND MEASUREMENTS
CE60048,ANALYSIS OF FOUNDATION
EE69145,SEMINAR
GG40218,REMOTE SENSING AND GIS
HS21206,DEVELOPMENT ECONOMICS
IM68021,SUMMER INTERNSHIP
NA41001,OFFSHORE TECHNOLOGY
AE39002,SYSTEM LABORATORY
AR52003,PRINCIPLES OF TOWN PLANNING AND URBAN DESIGN
EE61201,INTRODUCTION TO ELECTRICAL MACHINES AND DRIVES
MS61003,SCIENCE AND TECHNOLOGY OF CERAMICS
NA69003,HYDRODYNAMICS LABORATORY
AG31005,PRINCIPLES OF FOOD ENGINEERING
EM61202,PUBLIC POLICY
PH49203,CONDENSED MATTER PHYSICS LAB II
SD11005,PRINCIPLES OF MICROECONOMICS - I
AG60190,ADVANCED GROUNDWATER HYDROLOGY
CY49204,BIOCHEMICAL TECHNIQUES LABORATORY
GG30208,ECONOMIC GEOLOGY
GG31203,SEISMIC METHODS OF PROSPECTING
GG40004,SEQUENCE STRATIGRAPHY
NA39011,HYDRODYNAMICS LABORATORY
AT61202,AUTOMOTIVE ELECTRONICS
RE61004,ADVANCED RELIABILITY ENGINEERING
CH69005,LABORATORY
EC60332,INFORMATION THEORY AND CODING
GG58201,SUMMER INTERNSHIP
IM20202,WORK SYSTEM DESIGN
MI68121,SUMMER INTERNSHIP
PH39201,MODERN PHYSICS LAB
BS41002,STRUCTURE DETERMINATION OF BIOMOLECULES
EE60037,LINEAR ALGEBRA IN SIGNALS AND SYSTEMS
EX58016,COMPREHENSIVE VIVA VOCE
IM31202,STATISTICAL LEARNING WITH APPLICATIONS
IM69203,OPERATIONS RESEARCH AND ANALYTICS LAB
MM61516,MEDICAL IMAGING LABORATORY
AR29204,BUILDING CONSTRUCTION SESSIONAL II
AR40023,BUILDING ACOUSTICS
GG41201,EARTHQUAKE SEISMOLOGY
HS68004,COMPREHENSIVE VIVA VOCE
HS69015,PSYCHOLOGICAL TESTING AND MEASUREMENT LAB
GG49203,ADVANCED STRUCTURAL GEOLOGY LAB
NA29204,LINESPLAN LABORATORY
AG60062,MANAGEMENT AND PRODUCTIVITY
BS58002,VIVA VOCE
CE60022,AIR QUALITY MANAGEMENT
MA60265,PROGRAMMING LANGUAGES AND DATA STRUCTURES
MS60008,TECHNIQUES OF MATERIALS CHARACTERIZATION - II
PH31202,STATISTICAL PHYSICS
